instance_id,id,user.id,created_at,text
39,1075561569692602368,965533805179174912,Thu Dec 20 01:20:35 +0000 2018,"""සත්තයි දවසක ඔබ හඩනවා මම හඩන තරමටම...."""
40,1075470854379704320,233860469,Wed Dec 19 19:20:07 +0000 2018,"""අපි ආයේ ඒ ගැන දවසක කතා කරමු. https://t.co/Fe45fEqV12"""
41,1075440629037989888,432130044,Wed Dec 19 17:20:01 +0000 2018,"""@Jude_H_Fernando @tikirimaarie වැඩිම උනොත් ඇවිත් ""haha"" emoji එකක් දාල යාවි 😂😂"""
42,1075435199666614273,1075417369273458690,Wed Dec 19 16:58:26 +0000 2018,"""@sheshandj ඔයා තමා වගකියන්න ඕනෙ ඔහොම කියල මට මොනාහරි උනොත් 😏😭"""
43,1075429878860734465,3251654766,Wed Dec 19 16:37:18 +0000 2018,"""@Rasthiyaduwa ✋😂 දවසක හාද"""
44,1075419885986029568,1056620438477045763,Wed Dec 19 15:57:35 +0000 2018,"""නුඹ නැතුව හිත හැදෙන් නෑ ළඟට ඇවිදින් අඬන් නෑ ලැබෙන දවසක ලැබෙනවා නම් සිතින් කිසිදින හැලෙන් නෑ.. #සිතුවිලි"""
45,1075418248890511362,233860469,Wed Dec 19 15:51:05 +0000 2018,"""@MatiBole එන්නේම නැති උනොත්."""
46,1075417589327659008,192037491,Wed Dec 19 15:48:28 +0000 2018,"""@AyeshaShehani බොහෝම ස්තූතියි අයේසෝ! ඉක්මනට දවසක හම්බෙමු? තිසූගෙන් කේක් ගන්නත් තියේ."""
47,1075409043022180354,2993019091,Wed Dec 19 15:14:30 +0000 2018,"""@DraXTwitt උඹ දැන් වැඩ කරන තනේ නැති උනොත් එහා තනට පැනපං. ගොඩං වෙලාවට ඔව්වා එක වගේ 😂😂🤣"""
48,1075403386067927040,995273332843950080,Wed Dec 19 14:52:01 +0000 2018,"""🍃.......... අපි ආයෙත් හමු නොවුනා නම් ඉස්සර දවසක මියගිය සෙනෙහස  යලි ඉපදී මා හද හඬවන්නට අපි ආයෙත් හමු නොවුනා නම්...🍂  #සදාකාලිකනොවූලෝකේ"""
49,1075403200348463104,233860469,Wed Dec 19 14:51:17 +0000 2018,"""@Jude_H_Fernando @piumi_silva ආයේ ඒවා ගැන හිතලා හිත මෙව්වා කර ගන්න එපා."""
50,1075398782509084673,911206472956223488,Wed Dec 19 14:33:44 +0000 2018,"""@_Thamarasa_ එල එල.. නැත්තන් අපෙ අම්මලගෙ ගමේ එන දවසක මම එනවා ඔහේ..😂😂😂"""
51,1075390738396012545,911206472956223488,Wed Dec 19 14:01:46 +0000 2018,"""@Annnuza අාහ් එහෙමද.. එල.. පස්සෙ දවසක සෙට් වෙමු එහෙනම්..."""
52,1075362193548337152,885726737073451009,Wed Dec 19 12:08:20 +0000 2018,"""@_ouTliER__ අගමැති උනොත් මට රස්සාවක් දෙන්න අක්කේ"""
53,1075357957892833281,233860469,Wed Dec 19 11:51:31 +0000 2018,"""@maalupaan බැරිම උනොත් වරෙන් මෙහෙ. ගහල කීයක් හරි හොයන් ජීවත් වෙමු. මම කීවේ ෆොටෝ ගහල."""
54,1075335857983315968,777383704368775168,Wed Dec 19 10:23:41 +0000 2018,"""@FriendsGammadda ඒ makeup කරන දේවල් නෙමෙ.අනික මං makeup කරන්න දන්නේ නෑ 😂 වැඩිම උනොත් lipstick සහ eye liner පාවිච්චි කරයි 😂"""
55,1075333797292326913,965080511205949440,Wed Dec 19 10:15:30 +0000 2018,"""@Jude_H_Fernando හම්මේ ඉතින් 😂👊... මේ මාසෙ ෆුල් බිසී නසියරේ.. හම්බවෙමුකො දවසක 🖤"""
56,1075287281508831233,2473955773,Wed Dec 19 07:10:40 +0000 2018,"""@SHAN_EVO_ දවසක එන්නම් බීලා යන්න 🍻"""
57,1075276452445151232,905674137133133824,Wed Dec 19 06:27:38 +0000 2018,"""@PinkySandaruwni අපි හිතලා ඒක කරලා දෙමු... අකැමැති වෙන්න දෙයක් නෑ.. අපි දෙන්නට කැමතියිනේ 😏"""
58,1075271169970921473,875015304639676417,Wed Dec 19 06:06:39 +0000 2018,"""@SHAN_EVO_ @CHIRU_Vibes කෝමත් දවසක මීට් වෙමුකෝ 😊"""
59,1075270084820590592,3927393580,Wed Dec 19 06:02:20 +0000 2018,"""@nadeerap6 තවම.නෑ ඉස්සරහට නැති උනොත් කියන්නම්කො"""
60,1075268863833432064,1014093357318934529,Wed Dec 19 05:57:29 +0000 2018,"""@RShashiya @PinkySandaruwni සස් පෙන් අනේ ඇන්ටිගේ යාලුවෙක් උනොත් කියල කියන්නෙ 😂"""
61,1075268593770586112,2425930645,Wed Dec 19 05:56:24 +0000 2018,"""@PinkySandaruwni @RakzzMaduOnline මොන පෙන් උනොත්.. ???"""
62,1075266730887446529,1685742714,Wed Dec 19 05:49:00 +0000 2018,"""අහල පහල ගෙදරකින් #රතුමකරාFM එකේ ඔටෝ ප්ලේ යන සිංදු වගේ සෙට් එකක් ඇහෙනවා.. 🤔 සැක සහිතයි.."""
63,1075265885835689984,2425930645,Wed Dec 19 05:45:39 +0000 2018,"""@da_sukiya @imhiran99 ඔය රිප්ලයි එක මකාං යකෝ. බඩු බනිස්වෙයි. ඉංගිරිසියෙන් ප්‍රොනව්න්ස් උනාට අකුරු සිංහල උනොත් කේස්"""
64,1075205669094129665,212847371,Wed Dec 19 01:46:22 +0000 2018,"""මාගේ දෑස දෙස බලනු! මෙතැන් පටන් ඔබ ඇසිපිය ගහන්නෙ හිතින් හිතලා."""
